date,sales
01-01-2013,11
01-01-2013,14
01-01-2013,7
01-01-2013,11
01-01-2013,16
01-01-2013,12
01-01-2013,20
02-01-2013,12
02-01-2013,8
02-01-2013,11
02-01-2013,9
02-01-2013,14
02-01-2013,16
02-01-2013,6
03-01-2013,8
03-01-2013,12
03-01-2013,20
03-01-2013,8
03-01-2013,14
03-01-2013,16
03-01-2013,10
03-01-2013,16
04-01-2013,15
04-01-2013,21
04-01-2013,22
04-01-2013,17
04-01-2013,7
04-01-2013,15
04-01-2013,20
05-01-2013,16
05-01-2013,15
05-01-2013,10
05-01-2013,22
05-01-2013,12
05-01-2013,19
05-01-2013,12
06-01-2013,10
06-01-2013,15
06-01-2013,18
06-01-2013,11
06-01-2013,9
07-01-2013,7
07-01-2013,9
07-01-2013,12
07-01-2013,12
07-01-2013,6
07-01-2013,11
07-01-2013,12
07-01-2013,10
08-01-2013,10
08-01-2013,15
08-01-2013,9
08-01-2013,16
08-01-2013,9
08-01-2013,11
09-01-2013,10
09-01-2013,9
09-01-2013,16
09-01-2013,3
09-01-2013,11
09-01-2013,13
09-01-2013,18
10-01-2013,10
10-01-2013,9
10-01-2013,16
10-01-2013,9
10-01-2013,7
10-01-2013,9
10-01-2013,7
11-01-2013,11
11-01-2013,9
11-01-2013,19
11-01-2013,14
11-01-2013,14
11-01-2013,9
11-01-2013,8
12-01-2013,12
12-01-2013,11
12-01-2013,13
12-01-2013,22
12-01-2013,16
12-01-2013,7
13-01-2013,16
13-01-2013,16
13-01-2013,10
13-01-2013,21
13-01-2013,8
13-01-2013,12
13-01-2013,14
13-01-2013,21
14-01-2013,14
14-01-2013,6
14-01-2013,9
14-01-2013,9
14-01-2013,11
14-01-2013,10
14-01-2013,12
15-01-2013,15
15-01-2013,13
15-01-2013,17
15-01-2013,7
15-01-2013,14
15-01-2013,10
15-01-2013,16
15-01-2013,13
16-01-2013,14
16-01-2013,8
16-01-2013,18
16-01-2013,8
16-01-2013,8
16-01-2013,13
16-01-2013,11
17-01-2013,8
17-01-2013,10
17-01-2013,15
17-01-2013,14
17-01-2013,9
17-01-2013,14
17-01-2013,16
17-01-2013,6
18-01-2013,12
18-01-2013,7
18-01-2013,5
18-01-2013,10
18-01-2013,17
18-01-2013,9
18-01-2013,15
19-01-2013,9
19-01-2013,18
19-01-2013,14
19-01-2013,6
19-01-2013,18
19-01-2013,19
20-01-2013,19
20-01-2013,15
20-01-2013,24
20-01-2013,18
20-01-2013,19
20-01-2013,6
20-01-2013,17
20-01-2013,13
21-01-2013,10
21-01-2013,14
21-01-2013,7
21-01-2013,8
21-01-2013,13
21-01-2013,10
22-01-2013,7
22-01-2013,13
22-01-2013,11
22-01-2013,10
22-01-2013,8
22-01-2013,7
22-01-2013,18
22-01-2013,3
23-01-2013,6
23-01-2013,11
23-01-2013,7
23-01-2013,18
23-01-2013,19
23-01-2013,17
23-01-2013,9
23-01-2013,20
24-01-2013,7
24-01-2013,8
24-01-2013,12
24-01-2013,8
24-01-2013,10
24-01-2013,12
24-01-2013,12
24-01-2013,14
25-01-2013,15
25-01-2013,17
25-01-2013,7
25-01-2013,6
25-01-2013,14
25-01-2013,9
25-01-2013,19
25-01-2013,21
26-01-2013,14
26-01-2013,15
26-01-2013,14
26-01-2013,12
26-01-2013,7
26-01-2013,7
27-01-2013,12
27-01-2013,11
27-01-2013,12
27-01-2013,12
27-01-2013,22
27-01-2013,12
28-01-2013,5
28-01-2013,12
28-01-2013,9
28-01-2013,10
28-01-2013,8
28-01-2013,12
29-01-2013,20
29-01-2013,17
29-01-2013,15
29-01-2013,12
29-01-2013,6
29-01-2013,6
29-01-2013,12
29-01-2013,18
30-01-2013,8
30-01-2013,8
30-01-2013,14
30-01-2013,12
30-01-2013,16
30-01-2013,17
30-01-2013,10
30-01-2013,8
31-01-2013,8
31-01-2013,19
31-01-2013,5
31-01-2013,6
31-01-2013,12
31-01-2013,16
31-01-2013,11
01-02-2013,14
01-02-2013,21
01-02-2013,12
01-02-2013,14
01-02-2013,19
01-02-2013,16
01-02-2013,14
01-02-2013,21
02-02-2013,20
02-02-2013,21
02-02-2013,15
02-02-2013,20
02-02-2013,12
02-02-2013,17
03-02-2013,12
03-02-2013,27
03-02-2013,13
03-02-2013,19
03-02-2013,18
03-02-2013,14
04-02-2013,11
04-02-2013,18
04-02-2013,12
04-02-2013,7
04-02-2013,11
04-02-2013,16
04-02-2013,10
05-02-2013,10
05-02-2013,10
05-02-2013,16
05-02-2013,10
